"year","sex","age","dx","pop","mx"
2024,"m",50,197.88198,6680.54722,0.0296206244014843
2024,"m",51,191.93314,6300.0954,0.0304651164488716
2024,"m",52,185.92066,5988.78219,0.0310448191471128
2024,"m",53,179.72577,5754.66844,0.031231298879141
2024,"m",54,173.54187,5589.96012,0.0310452787273194
2024,"m",55,167.69568,5477.30959,0.0306164326197965
2024,"m",56,162.6147,5389.92243,0.030170137346485
2024,"m",57,158.47503,5300.77795,0.0298965607491632
2024,"m",58,155.19987,5182.66933,0.0299459332860814
2024,"m",59,152.45951,5012.49178,0.0304159122232017
2024,"m",60,149.65151,4773.55168,0.0313501392740761
2024,"m",61,146.21678,4464.50672,0.032750937375675
2024,"m",62,141.67873,4100.22261,0.0345539116960286
2024,"m",63,135.85412,3709.2459,0.0366258058005807
2024,"m",64,128.90439,3328.97856,0.0387219045351857
2024,"m",65,121.18035,2988.29226,0.040551706277886
2024,"m",66,113.19747,2707.51961,0.0418085503727894
2024,"m",67,105.42908,2488.99128,0.0423581556300189
2024,"m",68,98.29043,2319.92312,0.0423679686419953
2024,"m",69,92.08791,2181.50124,0.0422130908346401
2024,"m",70,87.03994,2047.02623,0.0425201879313486
2024,"m",71,83.19237,1898.47033,0.0438207375092346
2024,"m",72,80.394,1728.88298,0.0465005445307814
2024,"m",73,78.32282,1544.33722,0.0507161382796952
2024,"m",74,76.37442,1363.87758,0.0559980024013592
2024,"m",75,73.87533,1202.86114,0.0614163410416601
2024,"m",76,70.0755,1072.36319,0.06534679729169
2024,"m",77,64.48424,972.80078,0.0662872001397861
2024,"m",78,57.04834,893.79163,0.0638273374746192
2024,"m",79,48.1527,822.39141,0.0585520464033057
2024,"m",80,38.57746,741.1437,0.052051255377331
2024,"m",81,29.22267,639.61287,0.0456880581530512
2024,"m",82,20.8987,517.95894,0.0403481789502465
2024,"m",83,14.10331,387.23569,0.0364204807671524
2024,"m",84,8.99181,265.25517,0.0338987172238716
2024,"m",85,5.42581,165.77225,0.0327305082726451
2024,"m",86,3.10663,94.60226,0.0328388560696119
2024,"m",87,1.69254,49.42001,0.0342480707713333
2024,"m",88,0.88017,23.74105,0.0370737604276138
2024,"m",89,0.43828,10.54196,0.0415748115151262
2024,"m",90,0.20966,4.35177,0.0481780976476238
2024,"m",91,0.09668,1.67996,0.0575489892616491
2024,"m",92,0.04311,0.61016,0.0706535990559853
2024,"m",93,0.01865,0.20977,0.088906898031177
2024,"m",94,0.00786,0.06868,0.114443797320909
2024,"m",95,0.00323,0.02155,0.149883990719258
2024,"m",96,0.0013,0.00652,0.199386503067485
2024,"m",97,0.00052,0.00191,0.272251308900524
2024,"m",98,2e-04,0.00055,0.363636363636364
2024,"m",99,8e-05,0.00015,0.533333333333333
2024,"m",100,3e-05,4e-05,0.75
